season,date,team_1,team_2,target_result,target_over_2_5,team_1_win_rate_pct,team_1_avg_goal_difference,team_1_avg_goals_scored,team_2_win_rate_pct,team_2_avg_goal_difference,team_2_avg_goals_scored,diff_win_rate,diff_goal_diff,diff_goals_scored,matchup_avg_goals,matchup_intensity_score,matchup_dominance
14/15,1/31/2015,Chelsea,Manchester City,D,Under,56.27,0.77,1.8,67.4,1.37,2.24,-11.13,-0.6,-0.44,2.48,28.34,1.52
14/15,4/4/2015,Arsenal,Liverpool,W1,Over,52.83,0.67,1.81,54.79,0.81,1.9,-1.96,-0.14,-0.09,3.71,23.96,1.43
14/15,11/8/2014,Liverpool,Chelsea,W2,Over,54.79,0.81,1.9,56.27,0.77,1.8,-1.48,0.04,0.1,2.68,25.83,1.05
14/15,3/1/2015,Liverpool,Manchester City,W1,Over,54.79,0.81,1.9,67.4,1.37,2.24,-12.61,-0.56,-0.34,3.41,24.22,1.68
14/15,5/10/2015,Chelsea,Liverpool,D,Under,56.27,0.77,1.8,54.79,0.81,1.9,1.48,-0.04,-0.1,2.68,25.83,1.05
14/15,4/12/2015,Manchester United,Manchester City,W1,Over,56.86,0.81,1.8,67.4,1.37,2.24,-10.54,-0.56,-0.44,2.68,28.32,1.41
14/15,12/14/2014,Manchester United,Liverpool,W1,Over,56.86,0.81,1.8,54.79,0.81,1.9,2.07,0.0,-0.1,2.29,28.66,1.05
14/15,5/17/2015,Manchester United,Arsenal,D,Under,56.86,0.81,1.8,52.83,0.67,1.81,4.03,0.14,-0.01,2.55,29.37,1.18
14/15,1/18/2015,Manchester City,Arsenal,W2,Under,67.4,1.37,2.24,52.83,0.67,1.81,14.57,0.7,0.43,2.77,28.05,1.41
14/15,11/2/2014,Manchester City,Manchester United,W1,Under,67.4,1.37,2.24,56.86,0.81,1.8,10.54,0.56,0.44,2.68,28.32,1.41
14/15,12/21/2014,Liverpool,Arsenal,D,Over,54.79,0.81,1.9,52.83,0.67,1.81,1.96,0.14,0.09,3.71,23.96,1.43
14/15,9/21/2014,Manchester City,Chelsea,D,Under,67.4,1.37,2.24,56.27,0.77,1.8,11.13,0.6,0.44,2.48,28.34,1.52
14/15,3/22/2015,Liverpool,Manchester United,W2,Over,54.79,0.81,1.9,56.86,0.81,1.8,-2.07,0.0,0.1,2.29,28.66,1.05
14/15,4/26/2015,Arsenal,Chelsea,D,Under,52.83,0.67,1.81,56.27,0.77,1.8,-3.44,-0.1,0.01,2.86,28.53,1.43
14/15,10/26/2014,Manchester United,Chelsea,D,Under,56.86,0.81,1.8,56.27,0.77,1.8,0.59,0.04,0.0,2.41,30.58,1.05
14/15,10/5/2014,Chelsea,Arsenal,W1,Under,56.27,0.77,1.8,52.83,0.67,1.81,3.44,0.1,-0.01,2.86,28.53,1.43
15/16,12/21/2015,Arsenal,Manchester City,W1,Over,52.83,0.67,1.81,67.4,1.37,2.24,-14.57,-0.7,-0.43,2.77,28.05,1.41
15/16,8/24/2015,Arsenal,Liverpool,D,Under,52.83,0.67,1.81,54.79,0.81,1.9,-1.96,-0.14,-0.09,3.71,23.96,1.43
15/16,12/28/2015,Manchester United,Chelsea,D,Under,56.86,0.81,1.8,56.27,0.77,1.8,0.59,0.04,0.0,2.41,30.58,1.05
15/16,9/12/2015,Manchester United,Liverpool,W1,Over,56.86,0.81,1.8,54.79,0.81,1.9,2.07,0.0,-0.1,2.29,28.66,1.05
15/16,4/16/2016,Chelsea,Manchester City,W2,Over,56.27,0.77,1.8,67.4,1.37,2.24,-11.13,-0.6,-0.44,2.48,28.34,1.52
15/16,9/19/2015,Chelsea,Arsenal,W1,Under,56.27,0.77,1.8,52.83,0.67,1.81,3.44,0.1,-0.01,2.86,28.53,1.43
15/16,11/21/2015,Manchester City,Liverpool,W2,Over,67.4,1.37,2.24,54.79,0.81,1.9,12.61,0.56,0.34,3.41,24.22,1.68
15/16,10/31/2015,Chelsea,Liverpool,W2,Over,56.27,0.77,1.8,54.79,0.81,1.9,1.48,-0.04,-0.1,2.68,25.83,1.05
15/16,8/16/2015,Manchester City,Chelsea,W1,Over,67.4,1.37,2.24,56.27,0.77,1.8,11.13,0.6,0.44,2.48,28.34,1.52
15/16,1/17/2016,Liverpool,Manchester United,W2,Under,54.79,0.81,1.9,56.86,0.81,1.8,-2.07,0.0,0.1,2.29,28.66,1.05
15/16,3/20/2016,Manchester City,Manchester United,W2,Under,67.4,1.37,2.24,56.86,0.81,1.8,10.54,0.56,0.44,2.68,28.32,1.41
15/16,1/24/2016,Arsenal,Chelsea,W2,Under,52.83,0.67,1.81,56.27,0.77,1.8,-3.44,-0.1,0.01,2.86,28.53,1.43
15/16,10/25/2015,Manchester United,Manchester City,D,Under,56.86,0.81,1.8,67.4,1.37,2.24,-10.54,-0.56,-0.44,2.68,28.32,1.41
15/16,2/28/2016,Manchester United,Arsenal,W1,Over,56.86,0.81,1.8,52.83,0.67,1.81,4.03,0.14,-0.01,2.55,29.37,1.18
15/16,10/4/2015,Arsenal,Manchester United,W1,Over,52.83,0.67,1.81,56.86,0.81,1.8,-4.03,-0.14,0.01,2.55,29.37,1.18
15/16,2/7/2016,Chelsea,Manchester United,D,Under,56.27,0.77,1.8,56.86,0.81,1.8,-0.59,-0.04,0.0,2.41,30.58,1.05
15/16,5/8/2016,Manchester City,Arsenal,D,Over,67.4,1.37,2.24,52.83,0.67,1.81,14.57,0.7,0.43,2.77,28.05,1.41
15/16,5/11/2016,Liverpool,Chelsea,D,Under,54.79,0.81,1.9,56.27,0.77,1.8,-1.48,0.04,0.1,2.68,25.83,1.05
15/16,1/13/2016,Liverpool,Arsenal,D,Over,54.79,0.81,1.9,52.83,0.67,1.81,1.96,0.14,0.09,3.71,23.96,1.43
15/16,3/2/2016,Liverpool,Manchester City,W1,Over,54.79,0.81,1.9,67.4,1.37,2.24,-12.61,-0.56,-0.34,3.41,24.22,1.68
16/17,9/16/2016,Chelsea,Liverpool,W2,Over,56.27,0.77,1.8,54.79,0.81,1.9,1.48,-0.04,-0.1,2.68,25.83,1.05
16/17,10/17/2016,Liverpool,Manchester United,D,Under,54.79,0.81,1.9,56.86,0.81,1.8,-2.07,0.0,0.1,2.29,28.66,1.05
16/17,9/10/2016,Manchester United,Manchester City,W2,Over,56.86,0.81,1.8,67.4,1.37,2.24,-10.54,-0.56,-0.44,2.68,28.32,1.41
16/17,11/19/2016,Manchester United,Arsenal,D,Under,56.86,0.81,1.8,52.83,0.67,1.81,4.03,0.14,-0.01,2.55,29.37,1.18
16/17,9/24/2016,Arsenal,Chelsea,W1,Over,52.83,0.67,1.81,56.27,0.77,1.8,-3.44,-0.1,0.01,2.86,28.53,1.43
16/17,12/3/2016,Manchester City,Chelsea,W2,Over,67.4,1.37,2.24,56.27,0.77,1.8,11.13,0.6,0.44,2.48,28.34,1.52
16/17,12/31/2016,Liverpool,Manchester City,W1,Under,54.79,0.81,1.9,67.4,1.37,2.24,-12.61,-0.56,-0.34,3.41,24.22,1.68
16/17,2/4/2017,Chelsea,Arsenal,W1,Over,56.27,0.77,1.8,52.83,0.67,1.81,3.44,0.1,-0.01,2.86,28.53,1.43
16/17,3/4/2017,Liverpool,Arsenal,W1,Over,54.79,0.81,1.9,52.83,0.67,1.81,1.96,0.14,0.09,3.71,23.96,1.43
16/17,8/14/2016,Arsenal,Liverpool,W2,Over,52.83,0.67,1.81,54.79,0.81,1.9,-1.96,-0.14,-0.09,3.71,23.96,1.43
16/17,1/15/2017,Manchester United,Liverpool,D,Under,56.86,0.81,1.8,54.79,0.81,1.9,2.07,0.0,-0.1,2.29,28.66,1.05
16/17,4/16/2017,Manchester United,Chelsea,W1,Under,56.86,0.81,1.8,56.27,0.77,1.8,0.59,0.04,0.0,2.41,30.58,1.05
